"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameDevComparatorJaccard record1Value","[0] GameDevComparatorJaccard record2Value","[0] GameDevComparatorJaccard record1PreprocessedValue","[0] GameDevComparatorJaccard record2PreprocessedValue","[0] GameDevComparatorJaccard similarity","[0] GameDevComparatorJaccard postproccesedSimilarity","[1] GameGenreComparatorMongeElkan record1Value","[1] GameGenreComparatorMongeElkan record2Value","[1] GameGenreComparatorMongeElkan record1PreprocessedValue","[1] GameGenreComparatorMongeElkan record2PreprocessedValue","[1] GameGenreComparatorMongeElkan similarity","[1] GameGenreComparatorMongeElkan postproccesedSimilarity","[2] GameNameComparatorLowerCaseJaccard record1Value","[2] GameNameComparatorLowerCaseJaccard record2Value","[2] GameNameComparatorLowerCaseJaccard record1PreprocessedValue","[2] GameNameComparatorLowerCaseJaccard record2PreprocessedValue","[2] GameNameComparatorLowerCaseJaccard similarity","[2] GameNameComparatorLowerCaseJaccard postproccesedSimilarity","[3] GameNameComparatorLevenshtein record1Value","[3] GameNameComparatorLevenshtein record2Value","[3] GameNameComparatorLevenshtein record1PreprocessedValue","[3] GameNameComparatorLevenshtein record2PreprocessedValue","[3] GameNameComparatorLevenshtein similarity","[3] GameNameComparatorLevenshtein postproccesedSimilarity","[4] GameNameComparatorJaccard record1Value","[4] GameNameComparatorJaccard record2Value","[4] GameNameComparatorJaccard record1PreprocessedValue","[4] GameNameComparatorJaccard record2PreprocessedValue","[4] GameNameComparatorJaccard similarity","[4] GameNameComparatorJaccard postproccesedSimilarity","[5] GamePlatformComparatorMongeElkan record1Value","[5] GamePlatformComparatorMongeElkan record2Value","[5] GamePlatformComparatorMongeElkan record1PreprocessedValue","[5] GamePlatformComparatorMongeElkan record2PreprocessedValue","[5] GamePlatformComparatorMongeElkan similarity","[5] GamePlatformComparatorMongeElkan postproccesedSimilarity","[6] GamePublisherComparatorLevenshtein record1Value","[6] GamePublisherComparatorLevenshtein record2Value","[6] GamePublisherComparatorLevenshtein record1PreprocessedValue","[6] GamePublisherComparatorLevenshtein record2PreprocessedValue","[6] GamePublisherComparatorLevenshtein similarity","[6] GamePublisherComparatorLevenshtein postproccesedSimilarity","[7] GamePublisherLJaccard record1Value","[7] GamePublisherLJaccard record2Value","[7] GamePublisherLJaccard record1PreprocessedValue","[7] GamePublisherLJaccard record2PreprocessedValue","[7] GamePublisherLJaccard similarity","[7] GamePublisherLJaccard postproccesedSimilarity","[8] GameReleaseComparatorExactYear record1Value","[8] GameReleaseComparatorExactYear record2Value","[8] GameReleaseComparatorExactYear record1PreprocessedValue","[8] GameReleaseComparatorExactYear record2PreprocessedValue","[8] GameReleaseComparatorExactYear similarity","[8] GameReleaseComparatorExactYear postproccesedSimilarity","[9] GamePlatformComparatorJaccard record1Value","[9] GamePlatformComparatorJaccard record2Value","[9] GamePlatformComparatorJaccard record1PreprocessedValue","[9] GamePlatformComparatorJaccard record2PreprocessedValue","[9] GamePlatformComparatorJaccard similarity","[9] GamePlatformComparatorJaccard postproccesedSimilarity"
"WekaMatchingRule","Kaggle1_Video_Game_7454","VG_Sales7449","0.08089171974522293","1",", crystal dynamics, ","",", crystal dynamics, ","","0.0","0.0",", Action, ",", Action, ",", Action, ",", Action, ","1.0","1.0","project: snowblind","project: snowblind","project: snowblind","project: snowblind","1.0","1.0","Project: Snowblind","Project: Snowblind","Project: Snowblind","Project: Snowblind","1.0","1.0","Project: Snowblind","Project: Snowblind","Project: Snowblind","Project: Snowblind","1.0","1.0","PlayStation2","PlayStation2","PlayStation2","PlayStation2","1.0","1.0",", Eidos Interactive, ",", Eidos Interactive, ",", Eidos Interactive, ",", Eidos Interactive, ","1.0","1.0",", eidos interactive, ",", eidos interactive, ",", eidos interactive, ",", eidos interactive, ","1.0","1.0","2005-01-01T00:00","2005-01-01T00:00","2005-01-01T00:00","2005-01-01T00:00","1.0","1.0","playstation2","playstation2","playstation2","playstation2","1.0","1.0"
"WekaMatchingRule","Kaggle1_Video_Game_4796","VG_Sales5709",,"0","","","","","0.0","0.0",", Fighting, ",", Misc, ",", Fighting, ",", Misc, ","0.8194444477558136","0.8194444477558136","fighting vipers","fishing master","fighting vipers","fishing master","0.0","0.0","Fighting Vipers","Fishing Master","Fighting Vipers","Fishing Master","0.5333333333333333","0.5333333333333333","Fighting Vipers","Fishing Master","Fighting Vipers","Fishing Master","0.0","0.0","SAT","Wii","SAT","Wii","0.0","0.0",", Sega, ",", Konami Digital Entertainment, ",", Sega, ",", Konami Digital Entertainment, ","0.1875","0.1875",", sega, ",", konami digital entertainment, ",", sega, ",", konami digital entertainment, ","0.0","0.0","1995-01-01T00:00","2007-01-01T00:00","1995-01-01T00:00","2007-01-01T00:00","0.0","0.0","sat","wii","sat","wii","0.0","0.0"
"WekaMatchingRule","Kaggle1_Video_Game_7832","VG_Sales7865","0.08089171974522293","0","","","","","0.0","0.0",", Shooter, ",", Shooter, ",", Shooter, ",", Shooter, ","1.0","1.0","quake","quake","quake","quake","1.0","1.0","Quake","Quake","Quake","Quake","1.0","1.0","Quake","Quake","Quake","Quake","1.0","1.0","N64","N64","N64","N64","1.0","1.0",", GT Interactive, ",", GT Interactive, ",", GT Interactive, ",", GT Interactive, ","1.0","1.0",", gt interactive, ",", gt interactive, ",", gt interactive, ",", gt interactive, ","1.0","1.0","1998-01-01T00:00","1998-01-01T00:00","1998-01-01T00:00","1998-01-01T00:00","1.0","1.0","n64","n64","n64","n64","1.0","1.0"
"WekaMatchingRule","Kaggle1_Video_Game_3021","VG_Sales3008","0.08089171974522293","0",", epic games, ","",", epic games, ","","0.0","0.0",", Shooter, ",", Shooter, ",", Shooter, ",", Shooter, ","1.0","1.0","unreal tournament iii","unreal tournament iii","unreal tournament iii","unreal tournament iii","1.0","1.0","Unreal Tournament III","Unreal Tournament III","Unreal Tournament III","Unreal Tournament III","1.0","1.0","Unreal Tournament III","Unreal Tournament III","Unreal Tournament III","Unreal Tournament III","1.0","1.0","PlayStation3","PlayStation3","PlayStation3","PlayStation3","1.0","1.0",", Midway Games, ",", Midway Games, ",", Midway Games, ",", Midway Games, ","1.0","1.0",", midway games, ",", midway games, ",", midway games, ",", midway games, ","1.0","1.0","2007-01-01T00:00","2007-01-01T00:00","2007-01-01T00:00","2007-01-01T00:00","1.0","1.0","playstation3","playstation3","playstation3","playstation3","1.0","1.0"
"WekaMatchingRule","Kaggle1_Video_Game_378","VG_Sales15740",,"0",", ea canada, ","",", ea canada, ","","0.0","0.0",", Sports, ",", Sports, ",", Sports, ",", Sports, ","1.0","1.0","fifa soccer 2004","football manager 2007","fifa soccer 2004","football manager 2007","0.0","0.0","FIFA Soccer 2004","Football Manager 2007","FIFA Soccer 2004","Football Manager 2007","0.4285714285714286","0.4285714285714286","FIFA Soccer 2004","Football Manager 2007","FIFA Soccer 2004","Football Manager 2007","0.0","0.0","PlayStation2","Xbox 360","PlayStation2","Xbox 360","0.0","0.0",", Electronic Arts, ",", Sega, ",", Electronic Arts, ",", Sega, ","0.3157894736842105","0.3157894736842105",", electronic arts, ",", sega, ",", electronic arts, ",", sega, ","0.0","0.0","2023-01-01T00:00","0001-01-01T00:00","2023-01-01T00:00","0001-01-01T00:00","0.0","0.0","playstation2","xbox 360","playstation2","xbox 360","0.0","0.0"
"WekaMatchingRule","Kaggle1_Video_Game_7173","VG_Sales7310","0.08089171974522293","0",", milestone s.r.l, ","",", milestone s.r.l, ","","0.0","0.0",", Racing, ",", Racing, ",", Racing, ",", Racing, ","1.0","1.0","ride","ride","ride","ride","1.0","1.0","Ride","Ride","Ride","Ride","1.0","1.0","Ride","Ride","Ride","Ride","1.0","1.0","PlayStation4","PlayStation4","PlayStation4","PlayStation4","1.0","1.0",", Milestone S.r.l., ",", Milestone S.r.l., ",", Milestone S.r.l., ",", Milestone S.r.l., ","1.0","1.0",", milestone s.r.l., ",", milestone s.r.l., ",", milestone s.r.l., ",", milestone s.r.l., ","1.0","1.0","2015-01-01T00:00","2015-01-01T00:00","2015-01-01T00:00","2015-01-01T00:00","1.0","1.0","playstation4","playstation4","playstation4","playstation4","1.0","1.0"
"WekaMatchingRule","Kaggle1_Video_Game_12970","VG_Sales12929","0.08089171974522293","0",", grasshopper manufacture, ","",", grasshopper manufacture, ","","0.0","0.0",", Action, ",", Action, ",", Action, ",", Action, ","1.0","1.0","samurai champloo: sidetracked","samurai champloo: sidetracked","samurai champloo: sidetracked","samurai champloo: sidetracked","1.0","1.0","Samurai Champloo: Sidetracked","Samurai Champloo: Sidetracked","Samurai Champloo: Sidetracked","Samurai Champloo: Sidetracked","1.0","1.0","Samurai Champloo: Sidetracked","Samurai Champloo: Sidetracked","Samurai Champloo: Sidetracked","Samurai Champloo: Sidetracked","1.0","1.0","PlayStation2","PlayStation2","PlayStation2","PlayStation2","1.0","1.0",", Namco Bandai Games, ",", Namco Bandai Games, ",", Namco Bandai Games, ",", Namco Bandai Games, ","1.0","1.0",", namco bandai games, ",", namco bandai games, ",", namco bandai games, ",", namco bandai games, ","1.0","1.0","2006-01-01T00:00","2006-01-01T00:00","2006-01-01T00:00","2006-01-01T00:00","1.0","1.0","playstation2","playstation2","playstation2","playstation2","1.0","1.0"
"WekaMatchingRule","Kaggle1_Video_Game_1093","VG_Sales1095","0.08089171974522293","0",", paradigm entertainment, ","",", paradigm entertainment, ","","0.0","0.0",", Racing, ",", Racing, ",", Racing, ",", Racing, ","1.0","1.0","spy hunter","spy hunter","spy hunter","spy hunter","1.0","1.0","Spy Hunter","Spy Hunter","Spy Hunter","Spy Hunter","1.0","1.0","Spy Hunter","Spy Hunter","Spy Hunter","Spy Hunter","1.0","1.0","PlayStation2","PlayStation2","PlayStation2","PlayStation2","1.0","1.0",", Midway Games, ",", Midway Games, ",", Midway Games, ",", Midway Games, ","1.0","1.0",", midway games, ",", midway games, ",", midway games, ",", midway games, ","1.0","1.0","2001-01-01T00:00","2001-01-01T00:00","2001-01-01T00:00","2001-01-01T00:00","1.0","1.0","playstation2","playstation2","playstation2","playstation2","1.0","1.0"
"WekaMatchingRule","Kaggle1_Video_Game_13432","VG_Sales13302","0.08089171974522293","0",", relic, ","",", relic, ","","0.0","0.0",", Strategy, ",", Strategy, ",", Strategy, ",", Strategy, ","1.0","1.0","company of heroes","company of heroes","company of heroes","company of heroes","1.0","1.0","Company of Heroes","Company of Heroes","Company of Heroes","Company of Heroes","1.0","1.0","Company of Heroes","Company of Heroes","Company of Heroes","Company of Heroes","1.0","1.0","PC","PC","PC","PC","1.0","1.0",", THQ, ",", THQ, ",", THQ, ",", THQ, ","1.0","1.0",", thq, ",", thq, ",", thq, ",", thq, ","1.0","1.0","2006-01-01T00:00","2006-01-01T00:00","2006-01-01T00:00","2006-01-01T00:00","1.0","1.0","pc","pc","pc","pc","1.0","1.0"
"WekaMatchingRule","Kaggle1_Video_Game_7967","VG_Sales7949","0.08089171974522293","0",", buena vista games, ","",", buena vista games, ","","0.0","0.0",", Action, ",", Action, ",", Action, ",", Action, ","1.0","1.0","disney's meet the robinsons","disney's meet the robinsons","disney's meet the robinsons","disney's meet the robinsons","1.0","1.0","Disney's Meet the Robinsons","Disney's Meet the Robinsons","Disney's Meet the Robinsons","Disney's Meet the Robinsons","1.0","1.0","Disney's Meet the Robinsons","Disney's Meet the Robinsons","Disney's Meet the Robinsons","Disney's Meet the Robinsons","1.0","1.0","Wii","Wii","Wii","Wii","1.0","1.0",", Disney Interactive Studios, ",", Disney Interactive Studios, ",", Disney Interactive Studios, ",", Disney Interactive Studios, ","1.0","1.0",", disney interactive studios, ",", disney interactive studios, ",", disney interactive studios, ",", disney interactive studios, ","1.0","1.0","2007-01-01T00:00","2007-01-01T00:00","2007-01-01T00:00","2007-01-01T00:00","1.0","1.0","wii","wii","wii","wii","1.0","1.0"
"WekaMatchingRule","Kaggle1_Video_Game_3168","VG_Sales3126",,"0",", team ninja, ","",", team ninja, ","","0.0","0.0",", Fighting, ",", Fighting, ",", Fighting, ",", Fighting, ","1.0","1.0","dead or alive 5","dead or alive 5","dead or alive 5","dead or alive 5","1.0","1.0","Dead or Alive 5","Dead or Alive 5","Dead or Alive 5","Dead or Alive 5","1.0","1.0","Dead or Alive 5","Dead or Alive 5","Dead or Alive 5","Dead or Alive 5","1.0","1.0","PlayStation3","PlayStation3","PlayStation3","PlayStation3","1.0","1.0",", Tecmo Koei, ",", Tecmo Koei, ",", Tecmo Koei, ",", Tecmo Koei, ","1.0","1.0",", tecmo koei, ",", tecmo koei, ",", tecmo koei, ",", tecmo koei, ","1.0","1.0","2012-01-01T00:00","2012-01-01T00:00","2012-01-01T00:00","2012-01-01T00:00","1.0","1.0","playstation3","playstation3","playstation3","playstation3","1.0","1.0"
"WekaMatchingRule","Kaggle1_Video_Game_5286","VG_Sales1140",,"0",", deep silver dambuster studios, ","",", deep silver dambuster studios, ","","0.0","0.0",", Shooter, ",", Role-Playing, ",", Shooter, ",", Role-Playing, ","0.8280423283576965","0.8280423283576965","homefront: the revolution","pokemon battle revolution","homefront: the revolution","pokemon battle revolution","0.2","0.0","Homefront: The Revolution","Pokemon Battle Revolution","Homefront: The Revolution","Pokemon Battle Revolution","0.64","0.64","Homefront: The Revolution","Pokemon Battle Revolution","Homefront: The Revolution","Pokemon Battle Revolution","0.2","0.0","PlayStation4","Wii","PlayStation4","Wii","0.0","0.0",", Deep Silver, ",", Nintendo, ",", Deep Silver, ",", Nintendo, ","0.2666666666666667","0.2666666666666667",", deep silver, ",", nintendo, ",", deep silver, ",", nintendo, ","0.0","0.0","2016-01-01T00:00","2006-01-01T00:00","2016-01-01T00:00","2006-01-01T00:00","0.0","0.0","playstation4","wii","playstation4","wii","0.0","0.0"
