"RecordIDS","AverageConsistency","Developers-Consistency","Developers-Values","Mode-Consistency","Mode-Values","Platform-Consistency","Platform-Values","Genres-Consistency","Genres-Values","Publishers-Consistency","Publishers-Values","Name-Consistency","Name-Values","Release-Consistency","Release-Values"
"DBpedia_Video_Game_12913+Kaggle1_Video_Game_5268","0.7142857142857143","0.0","{[, Japan Studio, ]|[, SCE Japan Studio, ]}","1.0","{[, Multiplayer, , Single-player, ]}","1.0","{PlayStation Portable|PlayStation Portable}","0.0","{[, Platform game, , Puzzle game, ]|[, Platform, ]}","1.0","{[, Sony Computer Entertainment, ]|[, Sony Computer Entertainment, ]}","1.0","{LocoRoco 2|LocoRoco 2}","1.0","{2008-11-21T00:00|2008-01-01T00:00}"
"DBpedia_Video_Game_12604+Kaggle1_Video_Game_1260","0.5714285714285714","0.0","{[, 3d6 Games, , EA Tiburon, ]|[, EA Sports, ]}","1.0","{[, Multiplayer video game, , Single-player, ]}","1.0","{PlayStation 2|PlayStation 2}","0.0","{[, American football, ]|[, Sports, ]}","0.0","{[, EA Sports, ]|[, Electronic Arts, ]}","1.0","{Madden NFL 2001|Madden NFL 2001}","1.0","{2000-08-14T00:00|2000-01-01T00:00}"
"DBpedia_Video_Game_2687+Kaggle1_Video_Game_3136","0.7142857142857143","1.0","{[, Remedy Entertainment, ]|[, Remedy Entertainment, ]}","1.0","{[, Single-player, ]}","1.0","{Xbox (console)|Xbox (console)}","0.0","{[, Third-person shooter, ]|[, Shooter, ]}","0.0","{[, Rockstar Games, ]|[, Take-Two Interactive, ]}","1.0","{Max Payne 2: The Fall of Max Payne|Max Payne 2: The Fall of Max Payne}","1.0","{2003-10-14T00:00|2003-01-01T00:00}"
"DBpedia_Video_Game_18789+Kaggle1_Video_Game_13759","0.5714285714285714","1.0","{[, Psygnosis, ]}","1.0","{[, Single-player, ]}","1.0","{PlayStation (console)|PlayStation (console)}","0.0","{[, Action game, ]|[, Shooter, ]}","0.0","{[, Sony Electronic Publishing, ]|[, Psygnosis, ]}","1.0","{Novastorm|Novastorm}","0.0","{1994-10-07T00:00|1995-01-01T00:00}"
"DBpedia_Video_Game_5549+Kaggle1_Video_Game_14769+Kaggle1_Video_Game_7312","0.5238095238095238","0.0","{[, Fatshark, ]|[, Activision, ]}","1.0","{[, Multiplayer video game, , Single-player video game, ]}","1.0","{Xbox 360|Xbox 360|Xbox 360}","0.0","{[, Platform game, ]|[, Action, ]|[, Sports, ]}","0.6666666666666666","{[, Capcom, ]|[, Capcom, ]|[, Activision, ]}","0.0","{Bionic Commando Rearmed 2|Biohazard: Revival Selection|Big League Sports}","1.0","{2011-02-01T00:00|2011-01-01T00:00|2011-01-01T00:00}"
"DBpedia_Video_Game_20033+Kaggle1_Video_Game_4879","0.7142857142857143","0.0","{[, EA Canada, , HB Studios, ]|[, EA Canada, ]}","1.0","{[, Multiplayer video game, , Single-player, ]}","1.0","{PlayStation 2|PlayStation 2}","0.0","{[, Sports game, ]|[, Sports, ]}","1.0","{[, Electronic Arts, ]|[, Electronic Arts, ]}","1.0","{NBA Live 09|NBA Live 09}","1.0","{2008-10-07T00:00|2008-01-01T00:00}"
"DBpedia_Video_Game_7115+Kaggle1_Video_Game_14355+Kaggle1_Video_Game_9881","0.619047619047619","0.0","{[, Behaviour Interactive, ]|[, Artificial Mind and Movement, ]}","1.0","{[, Single-player video game, ]}","1.0","{Game Boy Advance|Game Boy Advance|Game Boy Advance}","0.0","{[, Adventure game, , Platform game, ]|[, Sports, ]|[, Platform, ]}","0.6666666666666666","{[, Midway Games, ]|[, Ignition Entertainment, ]|[, Midway Games, ]}","0.6666666666666666","{Ed, Edd n Eddy: The Mis-Edventures|Elf Bowling 1 & 2|Ed, Edd n Eddy: The Mis-Edventures}","1.0","{2005-10-31T00:00|2005-01-01T00:00|2005-01-01T00:00}"
"DBpedia_Video_Game_10380+Kaggle1_Video_Game_280","0.5714285714285714","1.0","{[, Game Studio (company), ]}","1.0","{[, Multiplayer video game, , Single-player video game, ]}","1.0","{Nintendo Entertainment System|Nintendo Entertainment System}","0.0","{[, Role-playing video game, , Versus fighting game, ]|[, Action, ]}","0.0","{[, Namco, ]|[, Palcom, ]}","0.0","{Tenkaichi Bushi Keru Nagūru|Teenage Mutant Ninja Turtles}","1.0","{1989-07-21T00:00|1989-01-01T00:00}"
"DBpedia_Video_Game_22820+Kaggle1_Video_Game_11860+Kaggle1_Video_Game_5320","0.7142857142857143","0.6666666666666666","{[, Sega AM2, ]|[, Sega AM2, ]|[, Z-Axis, Ltd., ]}","1.0","{[, Multiplayer video game, , Single-player video game, ]}","1.0","{PlayStation 2|PlayStation 2|PlayStation 2}","0.0","{[, Combat flight simulator, ]|[, Simulation, ]|[, Sports, ]}","0.6666666666666666","{[, Sega, ]|[, Sega, ]|[, Acclaim Entertainment, ]}","0.6666666666666666","{Aero Elite: Combat Academy|Aero Elite: Combat Academy|Aggressive Inline}","1.0","{2002-07-11T00:00|2002-01-01T00:00|2002-01-01T00:00}"
"DBpedia_Video_Game_11473+Kaggle1_Video_Game_9726","0.7142857142857143","1.0","{[, Artificial Mind and Movement, ]|[, Artificial Mind and Movement, ]}","1.0","{[, Single-player, ]}","1.0","{GameCube|GameCube}","0.0","{[, Action-adventure game, ]|[, Platform, ]}","1.0","{[, Midway Games, ]|[, Midway Games, ]}","0.0","{The Ant Bully (video game)|The Ant Bully}","1.0","{2006-07-24T00:00|2006-01-01T00:00}"
"DBpedia_Video_Game_24667+Kaggle1_Video_Game_4094","0.5714285714285714","1.0","{[, Paradox Development, ]}","1.0","{[, Multiplayer video game, , Single-player video game, ]}","1.0","{PlayStation (console)|PlayStation (console)}","0.0","{[, Fighting game, ]|[, Fighting, ]}","0.0","{[, Activision, , Success (company), ]|[, Activision, ]}","1.0","{Wu-Tang: Shaolin Style|Wu-Tang: Shaolin Style}","0.0","{1999-11-30T00:00|1998-01-01T00:00}"
"DBpedia_Video_Game_20583+Kaggle1_Video_Game_620","0.8571428571428571","1.0","{[, Raven Software, ]|[, Raven Software, ]}","1.0","{[, Multiplayer video game, , Single-player video game, ]}","1.0","{Xbox 360|Xbox 360}","0.0","{[, Action role-playing, ]|[, Role-Playing, ]}","1.0","{[, Activision, ]|[, Activision, ]}","1.0","{Marvel: Ultimate Alliance|Marvel: Ultimate Alliance}","1.0","{2006-10-24T00:00|2006-01-01T00:00}"
"DBpedia_Video_Game_23483+Kaggle1_Video_Game_1119","0.7142857142857143","1.0","{[, EA Montreal, ]|[, EA Montreal, ]}","1.0","{[, Multiplayer video game, , Single-player video game, ]}","1.0","{Xbox 360|Xbox 360}","0.0","{[, Third-person shooter, ]|[, Shooter, ]}","1.0","{[, Electronic Arts, ]|[, Electronic Arts, ]}","0.0","{Army of Two (video game)|Army of Two}","1.0","{2008-03-06T00:00|2008-01-01T00:00}"
"DBpedia_Video_Game_16712+Kaggle1_Video_Game_11643","0.7142857142857143","1.0","{[, Visual Concepts, ]|[, Visual Concepts, ]}","1.0","{[, Multiplayer video game, , Single-player video game, ]}","1.0","{Nintendo DS|Nintendo DS}","0.0","{[, Sports game, ]|[, Sports, ]}","0.0","{[, 2K Sports, ]|[, Take-Two Interactive, ]}","1.0","{Major League Baseball 2K12|Major League Baseball 2K12}","1.0","{2012-03-06T00:00|2012-01-01T00:00}"
"DBpedia_Video_Game_22732+Kaggle1_Video_Game_8180","0.42857142857142855","0.0","{[, Neversoft, ]|[, Bitmap Brothers, ]}","1.0","{[, Single-player video game, ]}","1.0","{PlayStation (console)|PlayStation (console)}","0.0","{[, Action-adventure game, ]|[, Sports, ]}","0.0","{[, Activision, ]|[, Empire Interactive, ]}","0.0","{Spider-Man (2000 video game)|Speedball 2100}","1.0","{2000-09-01T00:00|2000-01-01T00:00}"
"DBpedia_Video_Game_12274+Kaggle1_Video_Game_13007+Kaggle1_Video_Game_4532","0.7619047619047619","1.0","{[, MachineGames, ]|[, MachineGames, ]}","1.0","{[, Single-player video game, ]}","1.0","{PlayStation 4|PlayStation 4|PlayStation 4}","0.0","{[, Action-adventure game, , First-person shooter, , Stealth game, ]|[, Sports, ]|[, Action, ]}","0.6666666666666666","{[, Bethesda Softworks, ]|[, Bigben Interactive, ]|[, Bethesda Softworks, ]}","0.6666666666666666","{Wolfenstein: The Old Blood|WRC 5: FIA World Rally Championship|Wolfenstein: The Old Blood}","1.0","{2015-05-05T00:00|2015-01-01T00:00|2015-01-01T00:00}"
"DBpedia_Video_Game_14272+DBpedia_Video_Game_19648+DBpedia_Video_Game_5529+Kaggle1_Video_Game_1734+Kaggle1_Video_Game_2772+Kaggle1_Video_Game_9386","0.5809523809523809","0.4","{[, Amaze Entertainment, , EA Mobile, , Griptonite Games, , Raven Software, ]|[, Gaijin Entertainment, , TopWare Interactive, ]|[, Yuke's, ]|[, Yuke's, ]|[, Gaijin Entertainment, ]}","0.6666666666666666","{[, Single-player video game, ]|[, Single-player video game, ]|[, Multiplayer video game, , Single-player video game, ]}","1.0","{PlayStation 3|PlayStation 3|PlayStation 3|PlayStation 3|PlayStation 3|PlayStation 3}","0.3333333333333333","{[, Action-adventure game, , Fighting game, , Hack and slash, , Platform game, ]|[, Action-adventure game, , Hack and slash, ]|[, Sports game, ]|[, Fighting, ]|[, Action, ]|[, Action, ]}","0.3333333333333333","{[, Activision, , Electronic Arts, ]|[, 1C Company, , SouthPeak Games, ]|[, THQ, ]|[, THQ, ]|[, Activision, ]|[, SouthPeak Games, ]}","0.3333333333333333","{X-Men Origins: Wolverine (video game)|X-Blades|WWE Legends of WrestleMania|WWE SmackDown vs. Raw 2010|X-Men Origins: Wolverine - Uncaged Edition|X-Blades}","1.0","{2009-05-01T00:00|2009-02-06T00:00|2009-03-19T00:00|2009-01-01T00:00|2009-01-01T00:00|2009-01-01T00:00}"
"DBpedia_Video_Game_22668+Kaggle1_Video_Game_8561","0.7142857142857143","1.0","{[, Factor 5, , Konami, ]}","1.0","{[, Multiplayer, , Single-player, ]}","1.0","{Super Nintendo Entertainment System|Super Nintendo Entertainment System}","0.0","{[, Sports game, ]|[, Sports, ]}","0.0","{[, Konami, ]|[, Konami Digital Entertainment, ]}","1.0","{International Superstar Soccer Deluxe|International Superstar Soccer Deluxe}","1.0","{1995-09-22T00:00|1995-01-01T00:00}"
"DBpedia_Video_Game_22485+Kaggle1_Video_Game_545","0.8571428571428571","1.0","{[, Artoon, ]|[, Artoon, ]}","1.0","{[, Single-player video game, ]}","1.0","{Nintendo DS|Nintendo DS}","0.0","{[, Platform game, ]|[, Platform, ]}","1.0","{[, Nintendo, ]|[, Nintendo, ]}","1.0","{Yoshi's Island DS|Yoshi's Island DS}","1.0","{2006-11-13T00:00|2006-01-01T00:00}"
"DBpedia_Video_Game_10888+Kaggle1_Video_Game_10390","0.7142857142857143","1.0","{[, Artdink, ]|[, Artdink, ]}","1.0","{[, Multiplayer video game, , Single-player, ]}","1.0","{PlayStation Vita|PlayStation Vita}","0.0","{[, Action role-playing, , Fighting game, ]|[, Fighting, ]}","0.0","{[, Bandai Namco Games, ]|[, Namco Bandai Games, ]}","1.0","{Dragon Ball Z: Battle of Z|Dragon Ball Z: Battle of Z}","1.0","{2014-01-23T00:00|2014-01-01T00:00}"
"DBpedia_Video_Game_8071+Kaggle1_Video_Game_7823","0.7142857142857143","1.0","{[, WayForward, ]|[, WayForward, ]}","1.0","{[, Single-player, ]}","1.0","{Nintendo 3DS|Nintendo 3DS}","0.0","{[, Action video game, ]|[, Misc, ]}","1.0","{[, THQ, ]|[, THQ, ]}","0.0","{SpongeBob SquigglePants|SpongeBob SquigglePants 3D}","1.0","{2011-04-10T00:00|2011-01-01T00:00}"
"DBpedia_Video_Game_20278+Kaggle1_Video_Game_10023","0.42857142857142855","0.0","{[, Digital Eclipse, , Sega, ]|[, Digital Eclipse, ]}","1.0","{[, Single-player, ]}","1.0","{Game Boy Advance|Game Boy Advance}","0.0","{[, Role-playing video game, ]|[, Role-Playing, ]}","0.0","{[, Infogrames, , Sega, , THQ, ]|[, Atari, ]}","1.0","{Phantasy Star Collection|Phantasy Star Collection}","0.0","{1998-02-04T00:00|2002-01-01T00:00}"
"DBpedia_Video_Game_13918+Kaggle1_Video_Game_11594","0.7142857142857143","0.0","{[, Beenox, ]|[, Cranky Pants Games, ]}","1.0","{[, Single-player video game, ]}","1.0","{Xbox (console)|Xbox (console)}","0.0","{[, Action video game, , Hack and slash, ]|[, Action, ]}","1.0","{[, THQ, ]|[, THQ, ]}","1.0","{Evil Dead: Regeneration|Evil Dead: Regeneration}","1.0","{2005-09-13T00:00|2005-01-01T00:00}"
"DBpedia_Video_Game_4287+Kaggle1_Video_Game_14856","0.7142857142857143","1.0","{[, Konami, ]|[, Konami, ]}","1.0","{[, Multiplayer video game, , Single-player video game, ]}","1.0","{Nintendo DS|Nintendo DS}","0.0","{[, Action game, ]|[, Action, ]}","0.0","{[, Konami, ]|[, Konami Digital Entertainment, ]}","1.0","{My Frogger Toy Trials|My Frogger: Toy Trials}","1.0","{2006-11-13T00:00|2006-01-01T00:00}"
"DBpedia_Video_Game_24247+Kaggle1_Video_Game_7115","0.7142857142857143","0.0","{[, FreeStyleGames, ]|[, Activision, ]}","1.0","{[, Multiplayer video game, , Single-player video game, ]}","1.0","{Xbox 360|Xbox 360}","0.0","{[, Rhythm game, ]|[, Misc, ]}","1.0","{[, Activision, ]|[, Activision, ]}","1.0","{Guitar Hero Live|Guitar Hero Live}","1.0","{2015-10-20T00:00|2015-01-01T00:00}"
"DBpedia_Video_Game_23954+Kaggle1_Video_Game_3214+Kaggle1_Video_Game_6274","0.6666666666666666","1.0","{[, Traveller's Tales, ]|[, Traveller's Tales, ]}","1.0","{[, Single-player video game, ]}","1.0","{PlayStation (console)|PlayStation (console)|PlayStation (console)}","0.0","{[, Platform game, , Shooter game, ]|[, Platform, ]|[, Sports, ]}","0.6666666666666666","{[, Activision, ]|[, Activision, ]|[, Natsume, ]}","0.0","{Buzz Lightyear of Star Command (video game)|Buzz Lightyear of Star Command|Burstrick: Wake Boarding!!}","1.0","{2000-09-26T00:00|2000-01-01T00:00|2000-01-01T00:00}"
"DBpedia_Video_Game_14388+DBpedia_Video_Game_19709+Kaggle1_Video_Game_1299+Kaggle1_Video_Game_3242+Kaggle1_Video_Game_7931","0.39999999999999997","0.0","{[, Griptonite Games, , Maxis, ]|[, Aspyr, , Heavy Iron Studios, , WayForward, ]|[, WayForward, ]|[, Griptonite Games, ]}","0.0","{[, Multiplayer video game, , Single-player video game, ]|[, Single-player, ]}","1.0","{Game Boy Advance|Game Boy Advance|Game Boy Advance|Game Boy Advance|Game Boy Advance}","0.0","{[, Life simulation game, ]|[, Adventure game, , Platform game, ]|[, Platform, ]|[, Simulation, ]|[, Adventure, ]}","0.4","{[, EA Games, ]|[, THQ, ]|[, THQ, ]|[, Electronic Arts, ]|[, N/A, ]}","0.4","{The Urbz: Sims in the City|The SpongeBob SquarePants Movie (video game)|The SpongeBob SquarePants Movie|The Urbz: Sims in the City|Thomas the Tank Engine & Friends}","1.0","{2004-11-09T00:00|2004-10-27T00:00|2004-01-01T00:00|2004-01-01T00:00|2004-01-01T00:00}"
"DBpedia_Video_Game_14981+Kaggle1_Video_Game_9917","0.42857142857142855","0.0","{[, Two Tribes B.V., ]|[, Two Tribes, ]}","1.0","{[, Multiplayer, , Single player, ]}","1.0","{Nintendo DS|Nintendo DS}","0.0","{[, Puzzle video game, ]|[, Puzzle, ]}","0.0","{[, The Game Factory, ]|[, Game Factory, ]}","0.0","{Rubik's Puzzle World|Rubik's World}","1.0","{2008-10-28T00:00|2008-01-01T00:00}"
"DBpedia_Video_Game_1163+DBpedia_Video_Game_14219+DBpedia_Video_Game_19097+Kaggle1_Video_Game_1650+Kaggle1_Video_Game_1651+Kaggle1_Video_Game_1975","0.5952380952380951","0.6666666666666666","{[, Budcat Creations, , EA Sports, , Image Space Incorporated, ]|[, Visual Concepts, ]|[, Visual Concepts, ]|[, Visual Concepts, ]|[, EA Sports, ]|[, Visual Concepts, ]}","0.6666666666666666","{[, Multiplayer video game, , Online game, , Single-player video game, ]|[, Multiplayer video game, , Single-player video game, ]|[, Multiplayer video game, , Single-player video game, ]}","1.0","{PlayStation 2|PlayStation 2|PlayStation 2|PlayStation 2|PlayStation 2|PlayStation 2}","0.3333333333333333","{[, Sim racing, ]|[, Sports game, ]|[, Sports game, ]|[, Sports, ]|[, Racing, ]|[, Sports, ]}","0.5","{[, Electronic Arts, ]|[, Sega Sports, ]|[, Sega, ]|[, Sega, ]|[, Unknown, ]|[, Sega, ]}","0.3333333333333333","{NASCAR Thunder 2003|NBA 2K3|NBA 2K2|NBA 2K2|NASCAR Thunder 2003|NBA 2K3}","0.6666666666666666","{2002-09-19T00:00|2002-10-08T00:00|2001-10-23T00:00|2002-01-01T00:00|2023-01-01T00:00|2002-01-01T00:00}"
"DBpedia_Video_Game_11401+Kaggle1_Video_Game_6961","0.5714285714285714","0.0","{[, EA UK, ]|[, Electronic Arts, ]}","1.0","{[, Multiplayer video game, , Single-player video game, ]}","1.0","{Xbox (console)|Xbox (console)}","0.0","{[, Action-adventure game, ]|[, Action, ]}","1.0","{[, Electronic Arts, ]|[, Electronic Arts, ]}","0.0","{Harry Potter and the Goblet of Fire (video game)|Harry Potter and the Goblet of Fire}","1.0","{2005-11-08T00:00|2005-01-01T00:00}"
"DBpedia_Video_Game_4495+Kaggle1_Video_Game_15300+Kaggle1_Video_Game_9018","0.42857142857142855","0.0","{[, Eurocom, ]|[, Double Helix Games, ]}","1.0","{[, Multiplayer, , Single-player video game, ]}","1.0","{PlayStation 2|PlayStation 2|PlayStation 2}","0.0","{[, Action game, , Platform game, ]|[, Strategy, ]|[, Action, ]}","0.0","{[, Disney Interactive Studios, ]|[, Broccoli, ]|[, Electronic Arts, ]}","0.0","{G-Force (video game)|Galaxy Angel II: Eigou Kaiki no Koku|G.I. Joe: The Rise of Cobra}","1.0","{2009-07-18T00:00|2009-01-01T00:00|2009-01-01T00:00}"
"DBpedia_Video_Game_1462+Kaggle1_Video_Game_15558","0.5714285714285714","1.0","{[, Team17, ]}","1.0","{[, Multiplayer video game, , Single-player video game, ]}","1.0","{PlayStation (console)|PlayStation (console)}","0.0","{[, Pinball, ]|[, Sports, ]}","0.0","{[, Atari SA, , MicroProse, ]|[, Psygnosis, ]}","0.0","{Addiction Pinball|Adidas Power Soccer 98}","1.0","{1998-05-19T00:00|1998-01-01T00:00}"
"DBpedia_Video_Game_22601+Kaggle1_Video_Game_2515","0.7142857142857143","1.0","{[, Indie Built, ]|[, Indie Built, ]}","1.0","{[, Multiplayer video game, , Single-player video game, ]}","1.0","{Xbox (console)|Xbox (console)}","0.0","{[, Snowboarding video game, ]|[, Sports, ]}","0.0","{[, Xbox Game Studios, ]|[, Microsoft Game Studios, ]}","1.0","{Amped: Freestyle Snowboarding|Amped: Freestyle Snowboarding}","1.0","{2001-11-19T00:00|2001-01-01T00:00}"
